fig_num,fig_name,num_parts,age_group_heuristic
fig-000304,"Man, White Vest with Truck, Red Legs, Red Cap",4,Adult-coded
fig-000305,Shadow ARF Trooper,4,Unspecified
fig-000306,Assistant - Female,4,Unspecified
fig-000307,"Knight (Knights Kingdom I) - Bull Robber, Black Chin-Guard",4,Unspecified
fig-000308,"Man, Brown Jacket, Blue Legs, White Cap, Blue Sunglasses",4,Adult-coded
fig-000309,Actor 1,4,Unspecified
fig-000310,"Man - White Torso, Black Legs Brown Hair",4,Adult-coded
fig-000311,Leonidas,4,Unspecified
fig-000312,"Stormtrooper, Chrome Silver Armor",4,Unspecified
fig-000313,"Worker, Blue Shirt with Orange Stripes and Pockets, Lime Cap",4,Unspecified
fig-000314,"Man, Black Torso, White Legs, Blue Cap, Backpack, Sunglasses",5,Adult-coded
fig-000315,"Soccer Player, Dutch Team",4,Unspecified
fig-000316,"Boba Fett, White Armor, Plain Black Head",4,Unspecified
fig-000317,"Lillie - Christmas Sweater, Red Skirt",4,Unspecified
fig-000318,Quicky the Nesquik Bunny,4,Unspecified
fig-000319,"Man - Blue Torso, White Legs, Black Hair",4,Adult-coded
fig-000320,Soccer Player Coca-Cola Defender 4,4,Unspecified
fig-000321,"Soccer Referee / Linesmen, Green Torso, Black Legs",4,Unspecified
fig-000322,Cole NRG,4,Unspecified
fig-000323,"Captain Jack Sparrow, Voodoo",4,Unspecified
fig-000324,"Chase McCain, Dark Bluish Gray Vest with Radio, Badge and Pouches over Medium Blue Shirt, Black Legs",4,Unspecified
fig-000325,Baron Von Barron (Pilot),6,Unspecified
fig-000326,"Soccer Player White Torso, Blue Legs, Brown Hair, Standard Face",4,Unspecified
fig-000327,Lord Sam Sinister with Dark Gray Pants,4,Unspecified
fig-000328,Brickster with Dark Gray Hat,4,Unspecified
fig-000329,"Shogun, Armor and Helmet with Horn",6,Unspecified
fig-000330,"Lobot, Yellow Skin",3,Unspecified
fig-000331,Bumblebee,5,Unspecified
fig-000332,"Boba Fett, Child, Dark Azure Outfit",4,Child-coded
fig-000333,Archer (Knights Kingdom I) - Plate on Legs,5,Unspecified
fig-000334,"Ed, Black Fire Suit with Gauge and Straps, White Helmet, Breathing Apparatus, Airtanks, Goatee Beard",7,Unspecified
fig-000335,"Man, Brown Jacket, Blue Legs, Blue Cap, Blue Sunglasses",4,Adult-coded
fig-000336,Crug,4,Unspecified
fig-000337,Dr. Peter Venkman (Dimensions),5,Adult-coded
fig-000338,"Jango Fett, Santa Outfit",5,Unspecified
fig-000339,Bat Lord (Fright Knights) - no Cape,4,Unspecified
fig-000340,Arctic Scout,5,Unspecified
fig-000341,"Classic Spaceman, Yellow with Airtanks (3842b Helmet)",5,Adult-coded
fig-000342,"Fireman, Plain Black, Black Helmet",4,Adult-coded
fig-000343,"Man, White and Blue Hoodie, Green Legs, Dark Brown Hair",4,Adult-coded
fig-000344,"Man, Blue Shirt with Buttons and Pockets, Blue Legs, Brown Hair",4,Adult-coded
fig-000345,"Man, Blue Jacket with Highway Logo, Blue Legs, Red Cap",4,Adult-coded
fig-000346,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Red Legs, Silver Helmet",4,Adult-coded
fig-000347,Laval,6,Unspecified
fig-000348,"Man, White and Blue Striped Shirt, Blue Legs, Blue Cap",4,Adult-coded
fig-000349,"Knight (Royal Knights) - Black Legs, Dark Gray Neck-Protector",4,Unspecified
fig-000350,"Anna - Black Vest, Yellowish Green Dress, Dark Turquoise Cape",5,Unspecified
